City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tura,IN,25.5198,90.2201,75.18,15,0,1.81,clear sky
1,Pochutla,MX,15.7432,-96.4661,87.8,42,1,9.22,clear sky
2,Bluff,NZ,-46.6,168.3333,62.01,83,100,4.0,light rain
3,Kapaa,US,22.0752,-159.319,78.8,69,40,12.66,scattered clouds
4,Nantucket,US,41.2835,-70.0995,41.0,86,100,14.83,overcast clouds
5,Bethel,US,41.3712,-73.414,57.2,54,1,4.61,clear sky
6,Klaksvik,FO,62.2266,-6.589,44.6,100,75,23.02,broken clouds
7,Rio Grande,BR,-32.035,-52.0986,71.01,96,100,5.91,light rain
8,Kaputa,ZM,-8.4689,29.6619,66.88,88,99,2.06,overcast clouds
9,Shiyan,CN,32.6475,110.7781,70.0,20,0,3.89,clear sky
10,Sept-Iles,CA,50.2001,-66.3821,24.01,68,20,2.42,few clouds
11,Deputatskiy,RU,69.3,139.9,7.2,89,100,0.36,overcast clouds
12,Bambous Virieux,MU,-20.3428,57.7575,77.0,94,75,5.75,broken clouds
13,Rikitea,PF,-23.1203,-134.9692,79.48,72,0,17.65,clear sky
14,Cajibio,CO,2.6227,-76.5704,60.08,96,100,1.59,light rain
15,Broome,US,42.2506,-75.833,50.0,76,77,4.52,broken clouds
16,Ushuaia,AR,-54.8,-68.3,55.4,47,40,18.41,light rain
17,Jamestown,US,42.097,-79.2353,57.2,47,1,5.97,clear sky
18,Hambantota,LK,6.1241,81.1185,75.2,100,75,4.61,broken clouds
19,Port Hardy,CA,50.6996,-127.4199,48.2,81,90,11.5,moderate rain
20,Harnosand,SE,62.6323,17.9379,36.0,93,90,2.3,mist
21,Mitsamiouli,KM,-11.3847,43.2844,82.11,71,100,4.07,overcast clouds
22,San Juan,AR,-31.5375,-68.5364,65.41,32,0,4.59,clear sky
23,Carnarvon,AU,-24.8667,113.6333,78.8,73,0,4.83,clear sky
24,Ancud,CL,-41.8697,-73.8203,52.0,82,0,5.75,clear sky
25,Novyy Yegorlyk,RU,46.3927,41.8716,40.73,89,100,14.61,light rain
26,Ewa Beach,US,21.3156,-158.0072,84.2,48,40,10.36,scattered clouds
27,Vaini,TO,-21.2,-175.2,86.0,74,75,8.05,light rain
